2:58:29 PM  [main] 	Initializing Control Panel
2:58:29 PM  [main] 	Windows Version:  Enterprise  64-bit
2:58:29 PM  [main] 	XAMPP Version: 8.2.12
2:58:29 PM  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
2:58:29 PM  [main] 	You are not running with administrator rights! This will work for
2:58:29 PM  [main] 	most application stuff but whenever you do something with services
2:58:29 PM  [main] 	there will be a security dialogue or things will break! So think 
2:58:29 PM  [main] 	about running this application with administrator rights!
2:58:29 PM  [main] 	XAMPP Installation Directory: "c:\xampp\"
2:58:29 PM  [main] 	Checking for prerequisites
2:58:31 PM  [main] 	All prerequisites found
2:58:31 PM  [main] 	Initializing Modules
2:58:31 PM  [main] 	Starting Check-Timer
2:58:31 PM  [main] 	Control Panel Ready
3:17:24 PM  [Apache] 	Attempting to start Apache app...
3:17:25 PM  [Apache] 	Status change detected: running
3:17:25 PM  [mysql] 	Attempting to start MySQL app...
3:17:27 PM  [mysql] 	Status change detected: running
5:55:09 PM  [main] 	Deinitializing Modules
5:55:09 PM  [main] 	Deinitializing Control Panel

